instance_id,seed,best_objective,runtime,algorithm_name,param_max_evaluations,param_max_iterations,param_time_limit,param_seed,param_problem_type,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator
J30_1.RCP,0,35.244166666666665,5.000845193862915,sa,100000,1000,5.0,0,rlp,10000,0.995,1.0,100,swap
J30_1.RCP,1,35.244166666666665,5.000928163528442,sa,100000,1000,5.0,1,rlp,10000,0.995,1.0,100,swap
J30_10.RCP,0,45.123345935727784,5.000277996063232,sa,100000,1000,5.0,0,rlp,10000,0.995,1.0,100,swap
J30_10.RCP,1,45.123345935727784,5.000767946243286,sa,100000,1000,5.0,1,rlp,10000,0.995,1.0,100,swap
J30_100.RCP,0,127.04799999999999,5.000805854797363,sa,100000,1000,5.0,0,rlp,10000,0.995,1.0,100,swap
J30_100.RCP,1,127.04799999999999,5.000201225280762,sa,100000,1000,5.0,1,rlp,10000,0.995,1.0,100,swap
J30_101.RCP,0,85.37509130752373,5.000193119049072,sa,100000,1000,5.0,0,rlp,10000,0.995,1.0,100,swap
J30_101.RCP,1,91.39677843523998,5.000303745269775,sa,100000,1000,5.0,1,rlp,10000,0.995,1.0,100,swap
J30_102.RCP,0,154.58011937557393,5.0005738735198975,sa,100000,1000,5.0,0,rlp,10000,0.995,1.0,100,swap
J30_102.RCP,1,151.15572307081928,5.000738143920898,sa,100000,1000,5.0,1,rlp,10000,0.995,1.0,100,swap
